PRISM Time Series Data
Location:  Lat: 37.7083   Lon: -121.8750   Elev: 394ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1895-01 - 2023-02
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2023-Mar-02
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1928-11,2.96,41.7,52.8,63.9,39.8,1.19,11.55
1928-12,3.45,35.2,44.8,54.4,34.2,0.91,7.24
1929-01,1.25,35.0,43.8,52.6,33.8,0.93,6.53
1929-02,1.12,36.6,48.4,60.2,34.8,1.08,10.44
1929-03,1.38,41.4,53.2,65.1,38.6,1.39,12.71
1929-04,1.00,42.7,54.0,65.3,38.5,1.68,12.96
1929-05,0.00,47.9,61.4,75.0,43.4,2.00,19.78
1929-06,1.13,53.8,68.3,82.7,48.3,2.68,25.56
1929-07,0.00,55.7,70.1,84.6,49.1,3.30,27.77
1929-08,0.00,55.4,71.7,88.0,50.2,2.78,32.01
1929-09,0.00,51.7,67.9,84.1,45.7,2.65,29.29
1929-10,0.03,48.4,63.7,78.9,43.9,2.06,23.46
1929-11,0.00,39.4,55.0,70.6,36.1,1.44,17.95
1929-12,1.96,43.3,51.8,60.3,42.4,0.98,8.26
1930-01,4.36,39.0,46.4,53.8,37.5,1.02,5.84
1930-02,2.63,42.5,53.5,64.5,41.1,1.09,11.50
1930-03,2.45,43.6,55.2,66.7,41.4,1.32,12.92
1930-04,1.06,45.1,58.1,71.0,43.9,1.10,15.71
1930-05,0.37,46.7,58.5,70.3,43.1,1.72,15.36
1930-06,0.00,52.5,67.9,83.4,46.4,2.79,27.62
1930-07,0.00,54.1,70.0,85.8,47.5,3.23,30.12
1930-08,0.00,55.5,70.1,84.7,49.7,3.05,27.93
1930-09,0.14,54.4,66.1,77.8,47.7,3.31,21.22
1930-10,0.75,48.5,63.2,77.9,42.9,2.15,22.45
1930-11,1.40,41.4,55.0,68.6,38.6,1.40,15.82
1930-12,0.13,35.7,48.1,60.5,33.6,1.09,10.93
1931-01,3.78,39.5,49.2,58.9,37.9,1.04,8.66
1931-02,1.62,45.2,53.7,62.2,42.9,1.30,9.02
1931-03,0.98,43.8,56.3,68.9,40.6,1.53,14.78
1931-04,0.40,46.1,60.3,74.6,42.3,1.74,19.41
1931-05,1.07,54.7,68.0,81.4,48.0,3.25,24.43
1931-06,0.38,55.4,67.3,79.1,49.5,2.97,21.33
1931-07,0.00,59.0,75.7,92.4,50.0,4.61,38.65
1931-08,0.00,54.4,72.4,90.5,50.1,2.33,36.24
1931-09,0.00,53.2,68.1,83.0,46.1,3.30,27.82
1931-10,0.47,48.4,62.8,77.3,42.6,2.33,22.78
1931-11,2.19,41.4,53.4,65.3,37.8,1.52,13.43
1931-12,7.17,39.3,46.5,53.6,36.3,1.22,6.14
1932-01,2.08,37.9,46.3,54.6,34.9,1.22,7.13
1932-02,3.46,38.4,48.3,58.2,35.7,1.16,8.71
1932-03,0.52,43.6,55.7,67.7,40.0,1.57,13.94
1932-04,0.46,43.2,55.6,67.9,39.9,1.55,14.58
1932-05,0.44,50.0,62.2,74.3,45.2,2.26,18.21
1932-06,0.02,53.5,67.9,82.3,47.1,2.92,25.75
1932-07,0.00,52.7,70.3,87.9,47.9,2.48,33.14
1932-08,0.00,52.3,71.0,89.6,48.4,2.13,35.74
1932-09,0.00,52.7,71.6,90.5,46.3,2.97,37.99
1932-10,0.00,47.5,63.0,78.5,43.7,1.86,23.44
1932-11,0.20,44.0,57.8,71.5,41.2,1.42,17.74
1932-12,2.77,32.6,42.9,53.2,31.1,0.98,7.31
1933-01,4.80,34.1,43.1,52.1,32.9,0.92,6.27
1933-02,0.76,36.7,47.5,58.4,33.5,1.27,9.47
1933-03,2.19,42.4,53.5,64.6,39.7,1.37,11.88
1933-04,0.17,42.2,55.8,69.3,40.1,1.33,15.69
1933-05,1.00,44.6,57.2,69.8,42.2,1.28,15.14
1933-06,0.02,49.7,64.5,79.4,45.6,1.95,23.25
1933-07,0.00,53.9,73.9,93.9,48.1,2.84,41.90
1933-08,0.00,54.3,72.1,89.9,49.6,2.54,35.09
1933-09,0.03,50.4,66.4,82.5,45.6,2.28,27.32
1933-10,0.80,51.2,66.8,82.4,45.9,2.43,27.56
1933-11,0.34,40.3,55.3,70.4,38.9,1.22,17.05
1933-12,3.60,38.9,47.4,55.9,37.7,0.94,7.05
1934-01,1.38,39.2,48.2,57.3,38.7,0.89,7.50
1934-02,3.21,43.3,52.5,61.7,42.9,0.89,8.66
1934-03,0.03,46.3,59.1,71.9,44.5,1.30,16.24
1934-04,0.26,46.1,61.3,76.5,44.1,1.37,21.06
1934-05,0.61,50.5,64.8,79.0,46.9,1.89,22.38
1934-06,0.66,52.7,66.9,81.0,48.2,2.24,23.69
1934-07,0.00,53.6,70.4,87.1,49.1,2.41,31.44
1934-08,0.00,54.5,71.1,87.8,50.5,2.28,31.75
1934-09,0.29,51.7,69.8,87.8,46.0,2.63,33.81
1934-10,0.55,48.3,62.4,76.6,44.7,1.79,21.26
1934-11,3.27,45.2,55.2,65.3,44.7,0.98,10.87
1934-12,2.60,38.6,48.5,58.4,38.6,0.81,8.20
1935-01,3.88,37.5,46.1,54.7,37.4,0.79,6.31
1935-02,0.47,38.9,48.8,58.8,39.0,0.79,8.34
1935-03,3.81,37.1,48.3,59.5,36.8,1.00,9.31
1935-04,3.55,44.8,56.0,67.1,44.7,0.97,12.12
1935-05,0.06,46.3,60.4,74.4,45.0,1.03,18.26
1935-06,0.00,50.8,68.4,86.0,47.4,1.68,30.40
1935-07,0.00,52.3,70.3,88.3,48.1,2.18,33.42
1935-08,0.20,52.7,71.2,89.7,49.5,1.83,35.07
1935-09,0.00,51.6,66.8,82.0,47.8,2.07,25.44
1935-10,0.88,45.9,59.6,73.2,43.6,1.51,18.30
1935-11,0.54,37.5,50.8,64.1,36.2,1.04,12.89
1935-12,1.75,37.4,48.4,59.4,37.0,0.88,9.37
1936-01,3.69,40.8,50.0,59.1,40.8,0.79,7.86
1936-02,7.66,41.3,50.1,59.0,40.9,0.92,7.61
1936-03,0.86,42.4,54.9,67.3,40.7,1.24,13.88
1936-04,1.37,44.9,58.0,71.1,43.5,1.18,15.68
1936-05,0.59,49.6,64.7,79.7,47.1,1.47,23.17
1936-06,0.37,53.2,68.7,84.3,49.2,2.02,27.65
1936-07,0.00,55.0,74.0,93.0,49.6,2.72,39.84
1936-08,0.00,54.3,73.5,92.7,50.2,2.31,39.62
1936-09,0.00,52.5,71.4,90.3,46.5,2.83,37.81
1936-10,0.31,49.0,64.5,80.1,45.1,1.89,25.03
1936-11,0.26,39.2,54.3,69.3,37.0,1.27,16.55
1936-12,2.80,36.4,46.6,56.8,36.0,0.85,8.11
1937-01,3.84,31.3,39.9,48.4,29.8,0.93,5.15
1937-02,4.71,38.2,47.8,57.5,36.6,1.02,8.02
1937-03,5.82,43.0,53.6,64.2,41.5,1.14,11.04
1937-04,0.93,42.4,55.3,68.1,40.8,1.22,14.32
1937-05,0.04,47.0,63.3,79.6,44.2,1.36,24.36
1937-06,0.25,53.7,68.5,83.4,49.5,2.21,26.39
1937-07,0.00,55.1,73.8,92.5,50.2,2.61,39.32
1937-08,0.00,53.4,72.9,92.4,49.2,2.25,39.56
1937-09,0.00,52.1,69.1,86.2,47.0,2.52,31.72
1937-10,0.54,49.5,64.2,79.0,45.9,1.91,23.02
1937-11,2.29,44.7,55.8,66.9,43.4,1.14,12.40
1937-12,4.03,39.4,49.7,60.0,39.2,0.81,9.16
1938-01,1.94,37.8,46.9,56.1,37.8,0.76,7.01
1938-02,7.96,41.3,50.0,58.7,40.3,0.98,7.66
1938-03,4.92,41.5,50.7,59.9,41.0,0.98,8.24
1938-04,1.13,44.2,55.2,66.2,41.8,1.38,12.52
1938-05,0.26,47.5,63.0,78.6,45.0,1.38,22.53
1938-06,0.00,51.4,67.3,83.1,47.8,1.90,27.31
1938-07,0.00,54.6,72.4,90.2,50.1,2.42,35.23
1938-08,0.00,52.9,69.9,86.9,49.7,1.85,31.25
1938-09,0.09,53.3,69.4,85.4,47.7,2.79,30.19
1938-10,0.90,48.5,60.4,72.3,45.0,1.72,16.84
1938-11,1.12,39.0,52.0,64.9,37.0,1.21,13.05
1938-12,1.23,39.9,48.8,57.8,39.8,0.81,7.52
1939-01,2.35,37.4,47.6,57.8,36.8,0.87,8.28
1939-02,2.27,36.2,47.5,58.7,34.9,0.99,9.28
1939-03,2.41,41.5,50.7,60.0,39.9,1.12,8.43
1939-04,0.38,45.4,59.5,73.7,43.1,1.40,18.66
1939-05,0.54,48.5,63.4,78.3,45.4,1.56,22.29
1939-06,0.00,49.9,67.6,85.3,46.6,1.73,30.26
1939-07,0.00,53.6,71.3,88.9,49.1,2.30,34.34
1939-08,0.00,53.7,71.2,88.6,50.3,2.02,33.35
1939-09,0.30,54.4,71.5,88.6,48.7,2.87,35.03
1939-10,0.78,46.7,62.7,78.6,43.8,1.61,23.69
1939-11,0.26,39.1,54.9,70.6,38.3,0.96,17.55
1939-12,0.73,39.9,50.4,60.9,39.9,0.73,9.38
1940-01,7.49,41.9,48.9,55.8,41.6,0.78,5.62
1940-02,6.01,44.3,52.6,60.9,43.8,0.89,7.96
1940-03,3.64,44.2,55.4,66.6,43.2,1.08,12.30
1940-04,1.12,45.7,58.1,70.5,44.3,1.17,14.95
1940-05,0.31,48.9,63.2,77.4,46.3,1.48,21.11
1940-06,0.03,52.7,70.3,87.8,49.0,1.89,32.57
1940-07,0.00,54.1,71.1,88.0,49.7,2.40,32.41
1940-08,0.00,53.5,70.8,88.1,50.4,1.84,32.56
1940-09,0.28,53.4,67.5,81.5,49.1,2.37,24.72
1940-10,0.68,47.1,62.7,78.4,45.1,1.37,23.16
1940-11,0.86,40.6,52.7,64.9,39.5,1.02,12.21
1940-12,6.11,41.1,51.4,61.7,40.6,0.88,9.70
1941-01,4.45,41.7,50.1,58.4,41.7,0.72,7.08
1941-02,4.43,44.7,52.2,59.8,43.8,0.89,7.11
1941-03,2.69,44.6,55.5,66.4,44.0,0.93,11.89
1941-04,3.91,44.4,55.6,66.7,43.3,1.08,12.12
1941-05,0.86,51.1,63.8,76.5,48.1,1.71,19.35
1941-06,0.03,51.3,66.0,80.8,48.3,1.62,23.86
1941-07,0.00,55.3,73.1,90.9,50.8,2.53,36.46
1941-08,0.00,55.4,69.2,83.0,51.2,2.45,25.54
1941-09,0.00,51.4,67.6,83.9,46.5,2.34,28.95
1941-10,0.80,46.5,60.8,75.1,43.3,1.72,20.51
1941-11,1.12,42.9,54.6,66.3,42.6,0.80,12.09
1941-12,5.81,41.8,49.7,57.7,41.8,0.79,6.71
1942-01,4.31,38.7,46.7,54.7,38.7,0.60,5.89
1942-02,2.40,38.9,49.0,59.1,38.8,0.70,8.35
1942-03,1.72,38.5,51.6,64.7,37.6,0.86,12.76
1942-04,3.57,44.1,54.7,65.3,43.6,0.89,11.02
1942-05,1.40,46.1,58.9,71.8,44.5,1.20,16.34
1942-06,0.00,49.9,66.4,82.9,46.8,1.62,27.20
1942-07,0.00,54.7,71.8,89.0,50.1,2.58,34.20
1942-08,0.00,53.6,72.2,90.8,50.4,1.91,37.00
1942-09,0.10,51.5,67.9,84.3,46.9,2.29,29.29
1942-10,0.98,47.4,64.0,80.6,43.8,1.85,26.59
1942-11,3.80,41.4,53.2,65.0,40.2,1.03,12.31
1942-12,2.07,39.1,48.5,57.9,38.6,0.77,7.88
1943-01,4.51,37.1,47.8,58.5,36.9,0.71,8.58
1943-02,1.93,40.2,51.0,61.8,40.3,0.79,9.84
1943-03,2.64,43.6,53.9,64.2,43.3,0.87,10.31
1943-04,1.41,45.3,57.2,69.2,43.7,1.15,14.27
1943-05,0.00,47.6,63.4,79.2,44.1,1.53,24.16
1943-06,0.11,49.7,64.2,78.8,46.1,1.76,22.90
1943-07,0.00,53.6,70.8,87.9,49.2,2.45,32.46
1943-08,0.00,52.6,69.8,87.1,49.1,1.87,31.67
1943-09,0.00,53.9,70.5,87.0,48.3,2.89,32.53
1943-10,0.51,47.6,61.9,76.2,45.0,1.51,21.50
1943-11,0.59,40.0,54.4,68.9,39.8,0.76,15.45
1943-12,1.49,38.8,49.4,60.0,37.8,0.74,9.43
1944-01,2.77,37.7,47.7,57.8,37.3,0.69,8.22
1944-02,4.87,37.7,48.3,58.9,37.7,0.53,8.98
1944-03,1.55,39.7,53.3,67.0,37.9,1.05,14.47
1944-04,1.24,42.6,54.0,65.4,40.7,1.02,12.50
1944-05,0.61,47.1,62.1,77.1,44.7,1.26,21.94
1944-06,0.20,50.7,64.4,78.1,47.8,1.47,21.39
1944-07,0.00,52.6,69.2,85.9,48.9,1.96,27.55
1944-08,0.00,52.0,70.6,89.2,48.2,2.06,35.63
1944-09,0.00,51.7,71.0,90.3,45.8,2.86,38.77
1944-10,0.39,47.8,63.5,79.2,45.5,1.49,23.57
1944-11,4.84,41.4,51.5,61.5,42.0,0.56,9.19
1944-12,2.63,38.6,48.6,58.5,39.7,0.53,7.89
1945-01,0.42,35.4,44.9,54.4,35.6,0.49,6.85
1945-02,3.64,39.2,50.2,61.3,39.5,0.61,9.67
1945-03,3.44,38.1,49.1,60.1,37.9,0.56,9.66
1945-04,0.25,41.5,57.3,73.1,40.1,1.06,19.51
1945-05,0.47,48.6,59.9,71.1,46.3,1.32,15.11
1945-06,0.02,52.3,68.9,85.5,48.0,2.25,31.25
1945-07,0.00,55.3,73.6,91.9,51.5,2.22,37.62
1945-08,0.00,55.4,72.0,88.5,49.4,3.18,34.20
1945-09,0.00,54.2,71.2,88.1,47.0,3.35,35.08
1945-10,1.28,51.5,64.7,77.9,46.8,1.95,21.83
1945-11,2.55,42.0,52.5,63.0,43.3,0.48,9.91
1945-12,4.55,40.9,48.6,56.3,40.1,0.66,6.31
1946-01,1.07,33.5,45.9,58.3,35.7,0.19,8.91
1946-02,1.66,32.6,46.0,59.4,36.1,0.16,9.56
1946-03,1.80,37.2,50.8,64.3,39.7,0.34,12.32
1946-04,0.20,39.8,56.6,73.5,42.5,0.41,19.33
1946-05,0.71,45.1,60.5,76.0,45.8,0.75,19.98
1946-06,0.00,48.0,64.4,80.9,48.2,0.88,24.42
1946-07,0.12,55.2,71.7,88.2,51.0,2.33,32.72
1946-08,0.00,53.2,69.9,86.7,50.2,1.81,31.37
1946-09,0.03,52.2,68.8,85.3,47.1,2.45,31.16
1946-10,0.08,44.5,59.4,74.4,42.4,1.42,20.40
1946-11,3.12,38.6,50.7,62.8,38.0,0.90,11.44
1946-12,2.23,38.3,47.2,56.0,39.4,0.35,6.64
1947-01,0.81,30.2,42.1,54.0,33.0,0.14,7.31
1947-02,1.41,38.9,49.8,60.7,42.1,0.14,8.25
1947-03,2.72,43.3,54.0,64.7,44.0,0.52,10.59
1947-04,0.43,45.0,60.0,74.9,44.6,1.06,20.04
1947-05,0.24,48.8,65.1,81.4,47.6,1.14,25.95
1947-06,0.40,53.1,68.8,84.5,50.3,1.86,28.83
1947-07,0.00,54.9,70.0,85.1,50.3,2.41,28.75
1947-08,0.00,54.5,70.4,86.3,51.2,1.97,30.24
1947-09,0.00,52.4,70.9,89.5,47.3,2.70,37.39
1947-10,2.60,48.6,61.6,74.6,47.6,1.20,18.47
1947-11,0.84,37.0,49.9,62.9,38.4,0.54,10.99
1947-12,0.74,35.7,46.2,56.6,37.8,0.27,7.24
1948-01,0.35,39.2,51.1,63.0,37.1,1.02,11.33
1948-02,1.41,36.8,48.2,59.6,35.4,0.81,10.29
1948-03,2.80,42.6,52.6,62.5,38.5,1.27,11.37
1948-04,2.60,48.7,56.5,64.3,43.0,1.77,11.32
1948-05,1.19,51.4,61.7,71.9,45.7,2.13,16.16
1948-06,0.17,56.4,67.8,79.1,50.5,2.90,21.02
1948-07,0.00,55.6,72.2,88.7,50.0,3.15,33.82
1948-08,0.00,55.9,72.0,88.2,50.6,2.77,33.31
1948-09,0.00,51.9,70.5,89.0,47.4,2.54,37.25
1948-10,0.38,45.8,62.2,78.7,46.6,0.53,23.09
1948-11,0.36,37.2,52.8,68.4,36.0,0.92,15.94
1948-12,3.12,32.6,42.8,53.0,36.2,0.01,6.21
1949-01,1.24,27.3,38.9,50.5,24.9,0.62,7.91
1949-02,2.51,34.1,44.8,55.5,36.6,0.15,7.26
1949-03,4.17,41.5,51.3,61.2,41.5,0.43,9.45
1949-04,0.00,41.8,58.2,74.6,44.1,0.40,19.20
1949-05,0.41,48.2,62.3,76.5,46.6,1.08,20.73
1949-06,0.00,51.8,70.0,88.2,48.2,1.53,32.79
1949-07,0.00,51.9,72.0,92.1,48.4,1.91,39.57
1949-08,0.15,52.9,69.2,85.5,50.8,1.70,28.36
1949-09,0.00,51.4,70.1,88.7,49.2,1.87,34.83
1949-10,0.12,44.5,61.5,78.4,41.2,1.59,24.42
1949-11,1.39,42.5,57.2,72.0,44.7,0.58,16.52
1949-12,1.56,33.1,44.8,56.6,35.5,0.21,8.09
1950-01,5.28,32.7,42.5,52.3,34.7,0.22,6.04
1950-02,1.54,36.6,48.6,60.6,40.2,0.20,8.91
1950-03,1.56,38.1,51.3,64.5,39.7,0.52,12.38
1950-04,1.08,44.2,60.4,76.5,43.2,1.08,22.86
1950-05,0.52,46.2,61.7,77.1,44.5,1.24,22.76
1950-06,0.00,49.3,66.4,83.5,47.7,1.19,28.56
1950-07,0.00,52.9,71.5,90.2,50.1,1.80,36.30
1950-08,0.00,53.3,73.6,93.9,50.6,1.81,42.88
1950-09,0.07,52.8,71.1,89.4,49.7,2.02,37.66
1950-10,1.90,46.4,62.9,79.4,47.3,0.89,23.76
1950-11,5.63,45.9,57.5,69.1,48.4,0.20,12.01
1950-12,4.86,41.8,49.9,57.9,45.9,0.00,5.02
1951-01,2.31,36.7,46.4,56.2,39.5,0.14,6.29
1951-02,1.85,38.7,49.0,59.4,40.4,0.27,8.23
1951-03,1.45,35.9,50.7,65.4,37.5,0.46,14.38
1951-04,0.71,43.5,57.1,70.8,43.1,0.73,16.28
1951-05,0.56,47.7,63.6,79.5,47.2,0.95,24.71
1951-06,0.04,50.5,66.9,83.3,48.4,1.33,26.87
1951-07,0.00,51.6,70.1,88.7,49.0,1.68,34.79
1951-08,0.04,53.1,72.5,91.9,50.6,1.67,39.63
1951-09,0.01,52.2,70.1,88.0,49.8,1.68,33.61
1951-10,0.86,45.6,62.3,79.0,45.1,1.04,24.13
1951-11,3.08,41.9,53.2,64.5,44.1,0.26,10.63
1951-12,6.46,37.1,46.4,55.8,38.2,0.38,6.61
1952-01,7.56,35.2,44.2,53.2,37.2,0.19,5.88
1952-02,1.58,38.2,48.9,59.5,40.8,0.24,8.43
1952-03,3.68,37.4,49.3,61.1,38.5,0.40,11.11
1952-04,1.56,44.1,57.6,71.1,44.4,0.64,16.43
1952-05,0.20,45.7,63.4,81.1,46.4,0.64,26.58
1952-06,0.16,48.9,64.5,80.2,47.4,1.13,24.34
1952-07,0.00,54.6,73.7,92.8,52.6,1.61,38.54
1952-08,0.00,52.2,71.9,91.6,50.8,1.32,37.47
1952-09,0.00,52.6,72.1,91.6,49.7,1.99,39.66
1952-10,0.00,49.0,65.6,82.3,48.7,1.00,26.66
1952-11,2.23,36.3,50.8,65.2,39.0,0.28,13.53
1952-12,6.89,39.6,47.7,55.7,41.8,0.21,5.82
1953-01,2.39,40.4,50.4,60.4,44.1,0.11,7.07
1953-02,0.01,34.9,48.9,62.8,35.8,0.62,11.56
1953-03,1.45,36.8,50.5,64.3,38.6,0.50,12.60
1953-04,1.65,41.4,55.4,69.5,42.6,0.51,15.75
1953-05,0.68,44.6,57.4,70.1,43.4,1.00,15.98
1953-06,0.34,49.4,64.4,79.4,46.7,1.44,24.16
1953-07,0.00,53.4,73.0,92.6,48.6,2.61,40.11
1953-08,0.12,53.8,68.1,82.4,51.8,1.60,24.61
1953-09,0.00,55.1,70.9,86.6,52.3,2.12,29.82
1953-10,0.33,44.5,60.7,77.0,42.4,1.37,23.29
1953-11,1.85,42.8,54.3,65.9,45.3,0.27,11.48
1953-12,0.85,35.2,48.2,61.3,37.7,0.26,10.14
1954-01,2.45,35.2,46.2,57.3,38.4,0.21,7.43
1954-02,2.27,36.0,48.9,61.8,41.0,0.03,9.56
1954-03,3.07,38.4,49.4,60.4,39.6,0.41,9.58
1954-04,0.88,44.2,59.1,74.0,47.0,0.27,18.42
1954-05,0.14,46.7,62.8,78.9,45.4,0.86,23.51
1954-06,0.30,49.7,65.5,81.2,48.0,1.34,26.18
1954-07,0.00,54.2,72.5,90.9,50.4,2.31,36.57
1954-08,0.00,52.2,67.9,83.6,49.8,1.57,26.94
1954-09,0.00,49.8,67.2,84.6,46.8,1.87,30.09
1954-10,0.02,44.7,61.5,78.3,41.7,1.48,24.05
1954-11,1.83,40.0,52.6,65.3,43.4,0.13,11.37
1954-12,3.37,35.8,45.3,54.9,37.2,0.27,6.66
1955-01,3.98,33.0,42.7,52.4,35.2,0.21,5.82
1955-02,1.74,34.5,47.0,59.5,35.2,0.55,9.95
1955-03,0.33,37.2,51.5,65.8,36.6,0.75,14.08
1955-04,1.45,39.1,52.4,65.7,38.1,0.87,14.44
1955-05,0.63,46.1,61.4,76.8,45.5,0.92,21.57
1955-06,0.00,50.5,65.4,80.3,47.6,1.69,24.19
1955-07,0.00,51.7,68.6,85.5,48.0,2.08,29.51
1955-08,0.00,51.5,72.2,92.9,48.3,1.92,41.18
1955-09,0.00,49.6,69.3,89.0,46.5,1.90,38.17
1955-10,0.01,45.8,62.2,78.6,45.4,0.87,23.30
1955-11,1.57,39.3,52.7,66.1,40.1,0.74,13.80
1955-12,10.52,42.0,49.7,57.5,43.7,0.24,5.83
1956-01,6.05,40.2,48.3,56.4,42.9,0.17,5.22
1956-02,1.59,34.3,46.1,58.0,34.5,0.59,9.23
1956-03,0.12,36.9,51.1,65.4,37.7,0.61,13.36
1956-04,1.42,42.3,55.8,69.2,42.9,0.39,15.69
1956-05,0.82,47.7,62.0,76.3,46.8,0.80,20.73
1956-06,0.00,51.1,67.4,83.7,48.2,1.91,28.55
1956-07,0.00,53.6,71.0,88.3,51.0,1.68,32.47
1956-08,0.00,52.9,69.6,86.4,50.6,1.63,29.93
1956-09,0.48,51.7,69.1,86.5,49.1,1.74,31.52
1956-10,0.95,46.2,60.7,75.2,45.8,1.05,20.10
1956-11,0.16,37.1,53.0,68.9,36.8,0.83,16.00
1956-12,0.47,31.8,46.2,60.6,34.4,0.28,10.77
1957-01,2.64,32.7,43.6,54.4,34.4,0.36,7.37
1957-02,2.51,42.8,51.0,59.2,43.8,0.37,6.72
1957-03,1.97,42.9,53.4,63.9,43.2,0.61,10.40
1957-04,1.28,45.4,58.4,71.5,43.6,1.23,17.33
1957-05,2.69,50.0,61.0,72.0,48.7,1.23,15.34
1957-06,0.03,53.7,71.0,88.3,50.7,2.20,33.43
1957-07,0.00,54.9,72.5,90.1,50.0,2.87,36.06
1957-08,0.00,53.1,69.6,86.0,50.3,1.99,30.54
1957-09,0.36,55.0,70.7,86.4,50.5,2.44,31.97
1957-10,1.49,49.0,61.6,74.2,48.9,0.87,17.78
1957-11,0.60,39.1,52.1,65.0,40.5,0.44,12.40
1957-12,3.40,38.1,47.1,56.1,39.4,0.40,6.61
1958-01,4.11,36.6,47.7,58.9,40.0,0.09,7.89
1958-02,6.72,45.1,54.0,63.0,46.3,0.45,8.51
1958-03,5.32,38.1,49.5,61.0,40.0,0.21,10.20
1958-04,5.06,44.4,57.4,70.5,44.6,0.70,16.33
1958-05,0.53,50.3,63.9,77.5,49.0,1.30,20.63
1958-06,0.28,55.2,68.0,80.9,52.3,1.93,22.95
1958-07,0.00,56.3,71.8,87.3,53.0,2.04,29.95
1958-08,0.00,58.0,76.3,94.6,54.9,2.27,40.44
1958-09,0.05,54.3,73.1,91.9,49.8,2.58,40.76
1958-10,0.09,49.5,67.3,85.2,47.4,1.47,31.45
1958-11,0.27,40.0,54.8,69.6,41.2,0.52,15.78
1958-12,0.98,37.6,52.0,66.4,39.3,0.61,13.44
1959-01,3.05,38.6,49.4,60.1,41.2,0.21,8.31
1959-02,4.24,36.4,48.4,60.4,38.8,0.18,9.91
1959-03,0.32,40.4,55.6,70.9,40.7,0.57,17.44
1959-04,0.28,44.3,61.0,77.7,45.6,0.42,22.19
1959-05,0.00,46.0,60.7,75.4,44.9,0.99,20.33
1959-06,0.00,51.9,68.7,85.4,49.3,1.90,29.48
1959-07,0.00,54.4,73.8,93.3,50.3,2.47,40.76
1959-08,0.00,54.5,72.4,90.4,51.2,2.11,36.54
1959-09,2.49,51.7,67.5,83.3,49.6,1.44,27.64
1959-10,0.00,49.1,64.7,80.3,45.3,1.77,25.15
1959-11,0.00,36.3,53.3,70.3,37.4,0.69,17.33
1959-12,1.09,33.8,47.2,60.7,33.4,0.80,11.25
1960-01,3.53,35.6,45.4,55.2,37.3,0.20,6.81
1960-02,3.94,38.2,49.1,60.0,39.6,0.29,8.92
1960-03,1.06,42.3,54.0,65.6,42.9,0.62,12.09
1960-04,0.78,42.3,56.2,70.1,43.3,0.53,16.17
1960-05,0.58,45.5,60.0,74.5,45.3,0.69,19.24
1960-06,0.00,53.9,72.1,90.4,50.6,1.97,37.30
1960-07,0.00,54.6,73.9,93.2,50.1,2.71,41.46
1960-08,0.00,52.0,71.4,90.9,48.8,1.68,38.56
1960-09,0.00,49.9,69.0,88.2,47.1,1.65,35.19
1960-10,0.14,44.8,60.5,76.2,43.2,1.20,21.23
1960-11,3.53,39.9,51.5,63.1,43.5,0.20,10.09
1960-12,1.08,35.5,45.4,55.2,37.9,0.31,6.54
1961-01,2.04,32.1,42.6,53.1,36.4,0.00,5.76
1961-02,1.02,39.2,50.8,62.5,41.5,0.36,9.67
1961-03,2.38,38.7,50.8,63.0,40.6,0.50,10.87
1961-04,1.09,41.4,56.8,72.2,42.8,0.69,18.15
1961-05,0.61,45.5,57.9,70.3,44.4,0.97,15.35
1961-06,0.13,53.3,70.2,87.1,50.4,1.75,33.51
1961-07,0.00,54.7,74.5,94.4,48.9,2.84,44.40
1961-08,0.05,56.3,73.2,90.0,53.0,1.97,34.38
1961-09,0.26,50.8,67.8,84.7,46.5,2.17,30.52
1961-10,0.13,46.3,62.6,78.9,41.2,2.08,26.49
1961-11,2.55,38.2,51.6,65.1,37.0,0.86,13.70
1961-12,1.54,35.6,44.8,54.1,38.0,0.19,5.99
1962-01,1.06,31.9,43.7,55.6,32.9,0.44,8.54
1962-02,5.79,38.4,47.7,57.0,40.2,0.24,7.20
1962-03,2.27,37.3,48.8,60.4,39.2,0.44,9.48
1962-04,0.25,42.9,58.7,74.4,44.1,0.44,19.39
1962-05,0.00,45.4,59.1,72.8,43.9,0.99,17.96
1962-06,0.00,49.8,67.2,84.5,46.9,1.53,30.24
1962-07,0.00,51.9,70.9,89.8,48.2,1.82,36.14
1962-08,0.01,53.8,71.4,89.0,50.2,1.92,35.11
1962-09,0.00,51.1,67.9,84.8,48.3,1.65,29.68
1962-10,5.97,47.1,60.1,73.2,48.4,0.43,15.88
1962-11,0.39,40.8,53.8,66.8,44.6,0.20,11.75
1962-12,1.94,35.7,46.2,56.8,40.1,0.04,6.31
1963-01,1.41,29.9,41.9,53.8,31.2,0.36,7.40
1963-02,4.11,44.7,55.0,65.3,47.9,0.19,8.93
1963-03,3.17,37.1,50.0,62.8,38.8,0.48,11.30
1963-04,3.71,40.8,51.6,62.4,42.5,0.48,9.78
1963-05,0.51,48.3,60.3,72.3,48.1,0.99,14.76
